"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1995",285.324094,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1996",295.801549,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1997",303.09665,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1998",323.746128,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1999",328.805245,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2000",334.645123,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2001",340.982482,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2002",348.962582,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2003",347.969551,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2004",361.328033,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2005",365.515118,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2006",370.839121,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2007",381.067827,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2008",384.311003,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2009",390.741845,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2010",383.36385,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2011",381.778016,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2012",381.761574,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2013",375.433077,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2014",366.194357,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2015",372.446029,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2016",380.576451,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2017",383.785318,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2018",382.878608,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2019",388.7027299,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1995",59.549049,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1996",63.265768,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1997",62.456823,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1998",63.070928,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1999",61.44494,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2000",61.820269,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2001",66.191275,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2002",67.631905,
