"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1995",402481.437,
"AUS","GDP","TOT","MLN_USD","A","1996",423181.512,
"AUS","GDP","TOT","MLN_USD","A","1997",449576.869,
"AUS","GDP","TOT","MLN_USD","A","1998",476921.51,
"AUS","GDP","TOT","MLN_USD","A","1999",509779.868,
"AUS","GDP","TOT","MLN_USD","A","2000",537613.644,
"AUS","GDP","TOT","MLN_USD","A","2001",568472.868,
"AUS","GDP","TOT","MLN_USD","A","2002",599301.22,
"AUS","GDP","TOT","MLN_USD","A","2003",635958.179,
"AUS","GDP","TOT","MLN_USD","A","2004",675038.955,
"AUS","GDP","TOT","MLN_USD","A","2005",717705.079,
"AUS","GDP","TOT","MLN_USD","A","2006",773925.843,
"AUS","GDP","TOT","MLN_USD","A","2007",824690.484,
"AUS","GDP","TOT","MLN_USD","A","2008",851983.13,
"AUS","GDP","TOT","MLN_USD","A","2009",902680.372,
"AUS","GDP","TOT","MLN_USD","A","2010",942676.08,
"AUS","GDP","TOT","MLN_USD","A","2011",992327.38,
"AUS","GDP","TOT","MLN_USD","A","2012",997527.347,
"AUS","GDP","TOT","MLN_USD","A","2013",1104626.135,
"AUS","GDP","TOT","MLN_USD","A","2014",1118494.158,
"AUS","GDP","TOT","MLN_USD","A","2015",1126907.643,
"AUS","GDP","TOT","MLN_USD","A","2016",1215297.461,
"AUS","GDP","TOT","MLN_USD","A","2017",1254978.91,
"AUS","GDP","TOT","MLN_USD","A","2018",1356186.805,
"AUS","GDP","TOT","MLN_USD","A","2019",1376696.87,
"AUT","GDP","TOT","MLN_USD","A","1995",187895.922,
"AUT","GDP","TOT","MLN_USD","A","1996",194997.651,
"AUT","GDP","TOT","MLN_USD","A","1997",202530.57,
"AUT","GDP","TOT","MLN_USD","A","1998",212772.479,
"AUT","GDP","TOT","MLN_USD","A","1999",220639.939,
"AUT","GDP","TOT","MLN_USD","A","2000",235450.19,
"AUT","GDP","TOT","MLN_USD","A","2001",238981.852,
"AUT","GDP","TOT","MLN_USD","A","2002",251984.784,
"AUT","GDP","TOT","MLN_USD","A","2003",260788.036,
"AUT","GDP","TOT","MLN_USD","A","2004",275769.77,
"AUT","GDP","TOT","MLN_USD","A","2005",288086.722,
"AUT","GDP","TOT","MLN_USD","A","2006",310998.391,
"AUT","GDP","TOT","MLN_USD","A","2007",326699.296,
"AUT","GDP","TOT","MLN_USD","A","2008",343812.976,
"AUT","GDP","TOT","MLN_USD","A","2009",341644.307,
"AUT","GDP","TOT","MLN_USD","A","2010",351610.069,
"AUT","GDP","TOT","MLN_USD","A","2011",373031.477,
"AUT","GDP","TOT","MLN_USD","A","2012",391635.176,
"AUT","GDP","TOT","MLN_USD","A","2013",406370.245,
"AUT","GDP","TOT","MLN_USD","A","2014",417059.519,
"AUT","GDP","TOT","MLN_USD","A","2015",430975.924,
"AUT","GDP","TOT","MLN_USD","A","2016",460282.647,
"AUT","GDP","TOT","MLN_USD","A","2017",478085.761,
"AUT","GDP","TOT","MLN_USD","A","2018",520271.636,
"AUT","GDP","TOT","MLN_USD","A","2019",536334.759,
"BEL","GDP","TOT","MLN_USD","A","1995",226986.213,
"BEL","GDP","TOT","MLN_USD","A","1996",230441.688,
"BEL","GDP","TOT","MLN_USD","A","1997",241539.914,
"BEL","GDP","TOT","MLN_USD","A","1998",248626.188,
"BEL","GDP","TOT","MLN_USD","A","1999",260168.781,
"BEL","GDP","TOT","MLN_USD","A","2000",284950.464,
"BEL","GDP","TOT","MLN_USD","A","2001",296258.682,
"BEL","GDP","TOT","MLN_USD","A","2002",312900.475,
"BEL","GDP","TOT","MLN_USD","A","2003",320632.747,
"BEL","GDP","TOT","MLN_USD","A","2004",333856.905,
"BEL","GDP","TOT","MLN_USD","A","2005",347658.439,
"BEL","GDP","TOT","MLN_USD","A","2006",371415.055,
"BEL","GDP","TOT","MLN_USD","A","2007",390457.716,
"BEL","GDP","TOT","MLN_USD","A","2008",405729.43,
"BEL","GDP","TOT","MLN_USD","A","2009",407862.461,
"BEL","GDP","TOT","MLN_USD","A","2010",434412.544,
"BEL","GDP","TOT","MLN_USD","A","2011",451932.625,
"BEL","GDP","TOT","MLN_USD","A","2012",469720.336,
"BEL","GDP","TOT","MLN_USD","A","2013",487343.796,
"BEL","GDP","TOT","MLN_USD","A","2014",503619.623,
"BEL","GDP","TOT","MLN_USD","A","2015",520877.807,
"BEL","GDP","TOT","MLN_USD","A","2016",550677.566,
"BEL","GDP","TOT","MLN_USD","A","2017",575544.443,
"BEL","GDP","TOT","MLN_USD","A","2018",620835.07,
"BEL","GDP","TOT","MLN_USD","A","2019",647109.024,
"CAN","GDP","TOT","MLN_USD","A","1995",687948.942,
"CAN","GDP","TOT","MLN_USD","A","1996",711888.548,
"CAN","GDP","TOT","MLN_USD","A","1997",755158.587,
"CAN","GDP","TOT","MLN_USD","A","1998",793411.459,
"CAN","GDP","TOT","MLN_USD","A","1999",846421.343,
"CAN","GDP","TOT","MLN_USD","A","2000",901029.605,
"CAN","GDP","TOT","MLN_USD","A","2001",937274.87,
