LOCATION,TIME,POP,INFRAINVEST,GDP,AIREMISSION,PASSTRANSP,ROADACCID
AUS,1995,18.004882,571626711.18304,402481.437,285.324094,10344.505996047,111.60911907924
AUS,1996,18.224767,802011114.08396,423181.512,295.801549,10696.252435836,107.58560428158
AUS,1997,18.423037,747886518.71042,449576.869,303.09665,10976.875472385,95.425824917643
AUS,1998,18.607584,648492072.22955,476921.51,323.746128,10950.918994143,93.795093795094
AUS,1999,18.812264,564957297.04591,509779.868,328.805245,11164.803792244,93.205114657086
AUS,2000,19.028802,411180193.77677,537613.644,334.645123,11552.161964256,94.867644755391
AUS,2001,19.274701,366910463.5529,568472.868,340.982482,12149.624986664,89.476124246639
AUS,2002,19.49521,662954843.00173,599301.22,348.962582,12005.65718487,87.271135898715
AUS,2003,19.720737,748523928.5745,635958.179,347.969551,12021.773106727,81.476120108166
AUS,2004,19.932722,1105364375.8845,675038.955,361.328033,12087.046535813,78.649005832845
AUS,2005,20.176844,1496283128.6361,717705.079,365.515118,12062.893352373,79.775236825073
AUS,2006,20.450966,1251611424.677,773925.843,370.839121,12590.874021192,77.205900115471
AUS,2007,20.827622,1962260345.0615,824690.484,381.067827,13212.731578192,76.965180817761
AUS,2008,21.249199,1734889810.4184,851983.13,384.311003,14276.384048686,67.626075334601
AUS,2009,21.691653,2284971414.3283,902680.372,390.741845,15004.14159834,68.735968135278
AUS,2010,22.03175,3611610590.3921,942676.08,383.36385,14992.79186061,61.411372224176
AUS,2011,22.340024,5164883847.2106,992327.38,381.778016,15275.793628,57.161979772269
AUS,2012,22.733465,6602253137.6371,997527.347,381.761574,15568.963881337,57.184419533054
AUS,2013,23.128129,4975556295.7156,1104626.135,375.433077,15543.667841316,51.322785340742
AUS,2014,23.475686,4320269257.6053,1118494.158,366.194357,15571.083308422,49.029451152141
AUS,2015,23.815995,2796273621.706,1126907.643,372.446029,16016.860652115,50.554259857713
AUS,2016,24.190907,2563852635.6123,1215297.461,380.576451,16503.758569102,53.449835510508
AUS,2017,24.60186,3825342109.5036,1254978.91,383.785318,17039.193726877,49.711688465831
AUS,2018,24.99286,5025635392.8338,1356186.805,382.878608,17585.947168902,45.511515814471
AUT,1995,7.948278,521000000.0,187895.922,59.549049,9625.0,152.23423237084
AUT,1996,7.959016,590000000.0,194997.651,63.265768,9689.0,129.03603548026
AUT,1997,7.968041,710000000.0,202530.57,62.456823,8140.0,138.67900529126
AUT,1998,7.976789,979000000.0,212772.479,63.070928,7971.0,120.72526927815
AUT,1999,7.992323,1120000000.0,220639.939,61.44494,7995.0,135.00453685311
AUT,2000,8.011566,1199000000.0,235450.19,61.820269,8206.0,121.82387313541
AUT,2001,8.042293,1071000000.0,238981.852,66.191275,8240.0,119.12025587727
AUT,2002,8.082121,1191000000.0,251984.784,67.631905,8300.0,118.28818193415
AUT,2003,8.118245,1145000000.0,260788.036,72.707588,8249.0,114.63508303902
AUT,2004,8.169441,1335000000.0,275769.77,74.005823,8295.0,107.44048616942
AUT,2005,8.225278,1330000000.0,288086.722,74.439147,8470.0,93.341755158013
AUT,2006,8.267948,1489000000.0,310998.391,72.145288,9296.0,88.285366361897
AUT,2007,8.295189,1505000000.0,326699.296,69.111525,9580.0,83.298304246634
AUT,2008,8.321541,1683000000.0,343812.976,68.596658,10837.0,81.595905351634
AUT,2009,8.341483,2062000000.0,341644.307,62.621017,10653.0,75.869051216164
AUT,2010,8.361069,1936000000.0,351610.069,68.336998,10737.0,66.001833703119
AUT,2011,8.388534,2143000000.0,373031.477,66.605479,10875.0,62.323909632476
AUT,2012,8.426311,1688000000.0,391635.176,63.438355,11323.0,62.989391091877
AUT,2013,8.47723,1648000000.0,406370.245,64.095876,11915.0,53.656780336099
AUT,2014,8.543932,1567000000.0,417059.519,60.353212,12092.0,50.31384136116
AUT,2015,8.629519,1549000000.0,430975.924,61.452106,12208.0,55.422501697676
AUT,2016,8.739806,1523000000.0,460282.647,61.66542,12578.0,49.446768493435
AUT,2017,8.795073,1552000000.0,478085.761,64.118116,12656.7,47.058470490588
AUT,2018,8.837707,1682000000.0,520271.636,61.468298,13204.7,46.2642416663
BEL,1995,10.136814,668000000.0,226986.213,111.313683,6757.0,148.46878372301
BEL,1996,10.156641,537000000.0,230441.688,116.439404,6788.0,133.50875885394
BEL,1997,10.181246,635000000.0,241539.914,113.472717,6980.0,133.97182761047
BEL,1998,10.203012,637000000.0,248626.188,116.237806,7097.0,147.01546837952
BEL,1999,10.226419,764000000.0,260168.781,112.401484,7354.0,136.60695889734
BEL,2000,10.251247,1012000000.0,284950.464,114.004607,7755.0,143.39714668943
BEL,2001,10.286571,856000000.0,296258.682,115.382773,8036.0,144.46020393581
BEL,2002,10.332783,1049000000.0,312900.475,107.857199,8260.0,130.94243226778
BEL,2003,10.37613,959000000.0,320632.747,112.569091,8265.0,117.1920213436
BEL,2004,10.421133,976000000.0,333856.905,111.185727,8676.0,111.60010659106
BEL,2005,10.478617,948527538.2,347658.439,107.676772,9150.0,107.93409092059
BEL,2006,10.547956,928448430.70712,371415.055,105.533637,9607.0,104.8544182675
BEL,2007,10.625701,820740802.27657,390457.716,101.500283,9932.0,102.95792277215
BEL,2008,10.709976,982865787.45468,405729.43,103.901054,10406.0,91.503498654945
BEL,2009,10.796498,1404314280.9247,407862.461,96.871149,10427.0,88.547271785384
BEL,2010,10.895589,1376467072.8178,434412.544,103.890892,10403.0,78.013243161038
BEL,2011,10.993616,1295066302.6247,451932.625,92.80816,11003.0,80.085056853143
BEL,2012,11.067748,1333431629.7625,469720.336,92.315416,10857.0,74.458005144895
BEL,2013,11.125033,1200786096.1563,487343.796,94.068984,10595.0,68.462419194855
BEL,2014,11.179778,1107978558.46,503619.623,87.516749,10974.0,66.464110228006
BEL,2015,11.238474,1005993899.6279,520877.807,92.847538,10333.0,67.587968135377
BEL,2016,11.295003,959083668.59,550677.566,91.886517,10025.0,59.127618757822
BEL,2017,11.349081,880000000.0,575544.443,90.4776,10167.0,53.537717893677
CAN,1995,29.302311,290775401.06952,687948.942,438.54678,1382.0,113.06275467488
CAN,1996,29.610218,276686691.31238,711888.548,452.765162,1411.0,105.67298086086
CAN,1997,29.905948,410932721.71254,755158.587,467.458362,1440.0,102.85579310176
CAN,1998,30.155173,480485898.12977,793411.459,474.199734,1469.0,96.799312011906
CAN,1999,30.401286,510815412.75147,846421.343,483.715246,1498.0,98.022169193764
CAN,2000,30.68573,608226371.06184,901029.605,503.455816,1548.0,94.636823044457
CAN,2001,31.020902,473786687.82,937274.87,496.16027,1553.0,88.907795137614
CAN,2002,31.360079,452522255.19288,971009.088,514.445172,1596.0,93.143898011226
CAN,2003,31.644028,489886219.97472,1023165.602,534.262322,1433.0,87.757475122952
CAN,2004,31.940655,356215213.35807,1083146.524,526.180994,1413.0,85.627548965417
CAN,2005,32.243753,580910114.5923,1171340.162,538.929319,1478.0,89.877874948366
CAN,2006,32.571174,598230585.59191,1241194.165,529.557373,1450.0,88.145425768196
CAN,2007,32.889025,645380897.27007,1300942.608,560.11998,1453.0,83.705734663767
CAN,2008,33.247118,616943500.28859,1342396.613,539.879115,1574.0,73.119119678283
CAN,2009,33.628895,493313146.60611,1307953.077,512.504812,1413.0,65.895712600726
CAN,2010,34.004889,697402122.21003,1364079.668,526.203959,1404.0,65.814065736253
CAN,2011,34.339328,869438790.34603,1430807.125,538.65433,1404.0,58.912043939823
CAN,2012,34.714222,1044520547.9452,1468094.965,537.235919,1376.0,59.773772259681
CAN,2013,35.082954,1011400175.3873,1554122.745,546.979444,1365.0,55.611052592664
CAN,2014,35.437435,962574135.93292,1621396.709,552.221057,1327.0,51.950712572736
CAN,2015,35.702908,1065180586.9074,1594850.842,549.287447,1421.83097191,52.908855491547
CAN,2016,36.109487,796508456.08292,1678093.396,541.937771,1482.22919834,52.590057565758
CAN,2017,36.540268,918464900.30046,1771613.756,553.074022,1600.57655333,50.789034745912
CAN,2018,37.058856,1081557966.2789,1893907.331,565.231595,1685.0,51.864973508251
CZE,1995,10.330759,112319717.77401,142784.042,123.17479,8023.0,153.76789936298
CZE,1996,10.315353,159803372.49827,151155.623,124.62453,8111.0,152.00808202154
CZE,1997,10.303642,280063374.84999,152702.018,122.708428,7721.0,154.98638361644
CZE,1998,10.294943,302455737.67765,154180.022,116.852822,7018.0,132.11100860635
CZE,1999,10.282784,268707141.75319,158333.514,109.982816,6957.0,141.48383972555
CZE,2000,10.272503,370746942.74207,166568.303,121.230494,7300.0,144.90403423168
CZE,2001,10.224192,393952562.43871,180105.226,121.092364,7299.0,130.57175059621
CZE,2002,10.200774,473793692.05357,186119.946,117.124548,6597.0,140.33654881535
CZE,2003,10.201651,415919504.31339,198965.796,121.280735,6518.0,141.94627073696
CZE,2004,10.206923,411744609.89729,213269.646,121.810545,6590.0,135.52871546531
CZE,2005,10.234092,484400022.83005,225620.781,118.369879,6667.0,125.93994681926
CZE,2006,10.266646,465026007.29757,244624.887,118.850264,6922.0,103.81969556315
CZE,2007,10.322689,612539717.99324,270349.144,121.58171,6900.0,118.65427794308
CZE,2008,10.429692,1217156136.0631,290503.947,116.309075,6803.0,103.61493838522
CZE,2009,10.491492,740621739.72209,290152.861,109.59992,6503.0,86.27015715148
CZE,2010,10.517247,563179264.56576,292270.175,112.460232,6591.0,76.56755845914
CZE,2011,10.496672,446822182.0962,304400.914,109.318664,6714.0,73.646486195619
CZE,2012,10.509286,381534888.53009,307490.199,105.653832,7265.0,70.594156383182
CZE,2013,10.510719,334664758.03472,324029.978,101.384367,7601.0,62.20116808848
CZE,2014,10.524783,454245019.21135,342099.837,98.267535,7797.0,65.366015961279
CZE,2015,10.542942,1164925783.3975,357503.881,99.42453,8298.112592,69.978747511274
CZE,2016,10.565284,681496030.95338,381420.335,101.159746,8843.373268,57.825175283154
CZE,2017,10.589526,565612750.31146,412641.314,101.690554,9497.566454,54.462539683558
CZE,2018,10.62643,741057048.48478,451051.422,100.749119,10286.019,61.712553462262
DNK,1995,5.227861,726071706.40499,118490.59,58.385219,4684.0,111.20934815844
DNK,1996,5.261503,1033587869.2356,124645.348,71.637803,4621.0,97.661556725214
DNK,1997,5.28422,872255408.99918,131700.486,61.886608,4978.0,92.526174595189
DNK,1998,5.301304,818021813.91504,136917.875,57.966888,5163.0,94.076055306163
DNK,1999,5.319111,634649523.91199,141846.299,54.780958,5113.0,96.583880751603
DNK,2000,5.337344,563873460.51678,153089.947,50.833866,5537.0,93.265133672534
DNK,2001,5.355082,459730012.61372,157816.394,52.412499,5721.0,80.4287092797
DNK,2002,5.374255,478433483.61483,164720.391,52.122679,5754.0,86.124617298846
DNK,2003,5.387174,337922403.00375,165968.36,57.522118,5893.0,80.139888627816
DNK,2004,5.401177,341536848.61356,177870.417,51.880485,6074.0,68.276145739411
DNK,2005,5.415978,240884630.35281,185074.466,48.524936,6136.0,61.076511339196
DNK,2006,5.434567,178171629.28503,202725.721,56.431166,6274.0,56.278221873028
DNK,2007,5.457415,232055618.18865,212771.394,51.663967,6353.0,74.33939559508
DNK,2008,5.489022,372988197.42489,226767.494,48.693869,6475.0,73.903896901515
DNK,2009,5.519441,356687213.78403,222918.17,46.959299,6367.0,54.86054467649
DNK,2010,5.543819,396390589.75185,238749.494,47.288433,6577.0,45.965135354706
DNK,2011,5.566856,862871944.91793,247352.237,42.066014,6890.0,39.493251321408
DNK,2012,5.587085,915795695.7468,250524.599,37.171576,7020.0,29.86637746952
DNK,2013,5.608784,996124914.52017,262368.12,38.896978,7076.0,34.016440448433
DNK,2014,5.639719,1159371688.4197,270330.607,34.709752,6808.0,32.249633426213
DNK,2015,5.678348,1308422492.1567,278748.365,32.507165,6808.0,31.318823334212
DNK,2016,5.724456,1185026996.5348,297719.06,34.100207,6653.0,36.83652786919
DNK,2017,5.760694,1228171589.1218,320149.213,31.960309,6623.0,30.355699412661
DNK,2018,5.789957,1351365856.2765,343424.809,32.022456,6560.0,29.515143857847
FIN,1995,5.107787,226000000.0,99803.842,55.714578,3184.0,86.338710087925
FIN,1996,5.124573,192000000.0,102688.609,62.192974,3254.0,78.835836663855
FIN,1997,5.139839,224000000.0,111981.083,60.173993,3376.0,85.216743339037
FIN,1998,5.153499,254000000.0,121498.841,56.817756,3377.0,77.617183513024
FIN,1999,5.16547,264000000.0,127934.786,56.031327,3415.0,83.438615701095
FIN,2000,5.176203,233000000.0,138703.58,54.592688,3405.0,76.503866053322
FIN,2001,5.188005,204000000.0,144266.623,60.584543,3282.0,83.461706304231
FIN,2002,5.200598,225000000.0,148763.802,62.954778,3318.0,79.798515478412
FIN,2003,5.21301,275000000.0,151289.787,71.241465,3338.0,72.702662989204
FIN,2004,5.228173,328000000.0,162992.94,67.154133,3352.0,71.726790931897
FIN,2005,5.2461,281000000.0,168146.753,54.918043,3478.0,72.244198352451
FIN,2006,5.266266,234000000.0,181207.156,66.45099,3540.0,63.802297946098
FIN,2007,5.288719,211000000.0,199873.495,64.497212,3778.0,71.851033898561
FIN,2008,5.313398,327000000.0,212980.742,56.040308,4052.0,64.741985309215
FIN,2009,5.338867,361000000.0,202878.3,53.795592,3876.0,52.258239616578
FIN,2010,5.363341,388000000.0,209096.826,62.000673,3959.0,50.714553137665
FIN,2011,5.388272,355000000.0,220471.171,54.562684,3882.0,54.191770571345
FIN,2012,5.413967,450000000.0,221285.636,48.907929,4035.0,47.100363116094
FIN,2013,5.438975,605000000.0,225679.983,49.706581,4053.0,47.435434490194
FIN,2014,5.461507,643000000.0,228058.636,45.690084,3874.0,41.929780617529
FIN,2015,5.479528,567000000.0,232867.602,42.354365,4113.0,49.274290080666
FIN,2016,5.495297,537000000.0,246928.493,45.152969,3868.0,46.949185513519
FIN,2017,5.508209,521000000.0,262863.268,42.401662,4271.0,43.208197793332
FIN,2018,5.515525,491000000.0,282959.004,43.753389,4534.0,43.332230386047
FRA,1995,59.383991,2765572478.7448,1234149.753,343.648115,64444.0,149.32342013479
FRA,1996,59.589289,2963000000.0,1273114.085,359.52364,69183.0,142.93819065454
FRA,1997,59.795263,3024000000.0,1333377.621,351.029466,71016.0,140.81582559089
FRA,1998,60.011008,2879000000.0,1405861.087,372.496344,75175.0,148.17328491832
FRA,1999,60.315406,2891000000.0,1470523.886,366.61764,77111.0,140.28860210235
FRA,2000,60.72478,2954750000.0,1589936.939,364.674799,82253.0,132.63287502565
FRA,2001,61.163237,2443638000.0,1687447.704,368.205343,84180.0,132.99122860915
FRA,2002,61.60455,3044642000.0,1762925.935,362.524159,86186.0,123.85675803326
FRA,2003,62.037544,3633564000.0,1751797.978,368.282713,84151.0,97.325264600854
FRA,2004,62.4908,3680498000.0,1820723.319,368.883466,88567.0,89.195588318902
FRA,2005,62.958328,4171382500.0,1926880.385,371.708144,90859.0,84.173071040252
FRA,2006,63.393406,4303020000.0,2062931.189,362.43398,94590.0,74.015997860845
FRA,2007,63.781275,4616418000.0,2181667.496,353.57422,96709.0,72.169203979147
FRA,2008,64.133174,4696513301.88,2259255.844,349.331244,102721.0,66.407783495527
FRA,2009,64.458715,4968770094.2,2245566.431,336.203512,101821.0,66.036091281567
FRA,2010,64.773169,5103166000.0,2336459.963,340.052059,102167.0,61.389405563403
FRA,2011,65.087317,7060006000.0,2446474.544,325.46767,105596.0,60.649393858051
FRA,2012,65.402998,7991727000.0,2474005.287,328.82567,105956.0,55.6352516956
FRA,2013,65.735961,10364564000.0,2608523.504,329.326297,105215.0,49.516136586172
FRA,2014,66.276671,8921881000.0,2662032.873,297.550653,104589.0,51.031435952675
FRA,2015,66.512558,8576194000.0,2718495.127,303.916894,104849.0,52.007360912392
FRA,2016,66.68553,8614650000.0,2864105.631,306.067258,104207.0,52.110104018782
FRA,2017,66.829563,9334770000.0,2992536.037,309.87204,110469.0,51.567068318992
FRA,2018,66.941698,9901590000.0,3223486.01,303.478088,107920.0,48.502288746549
DEU,1995,81.678046,5747000000.0,1920062.397,856.596915,70977.0,115.74713015618
DEU,1996,81.914834,5200000000.0,1967539.568,887.062102,71730.0,106.91592588404
DEU,1997,82.034775,4745000000.0,2015112.101,854.919715,72403.0,104.2119078994
DEU,1998,82.047197,4423000000.0,2079407.818,846.943854,72666.0,94.969730531312
DEU,1999,82.100243,7350000000.0,2158515.841,814.959373,73796.0,94.66476244169
DEU,2000,82.211501,5305000000.0,2237046.164,812.311609,75404.0,91.264595219443
DEU,2001,82.349926,5481000000.0,2337156.838,831.479218,75754.0,84.723817295523
DEU,2002,82.488493,7437000000.0,2406900.908,817.9019,71366.0,82.944900376713
DEU,2003,82.534175,7228000000.0,2465900.62,820.688397,71293.0,80.124383867357
DEU,2004,82.516268,6404000000.0,2583409.013,804.624916,72879.0,70.798167536919
DEU,2005,82.469421,3411000000.0,2622039.802,786.931288,76824.0,65.00591213068
DEU,2006,82.376447,3971000000.0,2810242.832,798.68176,78995.0,61.801642802019
DEU,2007,82.266373,3836000000.0,2981616.28,767.019443,79107.0,60.158238168082
DEU,2008,82.110097,3816000000.0,3103958.247,773.893025,82539.0,54.524354051122
DEU,2009,81.902308,3412000000.0,3017520.905,720.182549,82253.0,50.694542706837
DEU,2010,81.776936,3807000000.0,3187863.278,758.848288,83886.0,44.609158108528
DEU,2011,80.274981,4086000000.0,3415019.966,731.241683,85414.0,49.94083897844
DEU,2012,80.425826,3930000000.0,3487234.448,745.141688,88796.0,44.761742755184
DEU,2013,80.645605,4684000000.0,3628559.337,763.651811,89615.0,41.403372198646
DEU,2014,80.982495,5543000000.0,3807114.521,723.111731,90976.0,41.700367363319
DEU,2015,81.686608,5541000000.0,3889081.896,729.684402,91603.0,42.344760758896
DEU,2016,82.348669,5192000000.0,4165169.905,734.487052,94197.0,38.932019654137
DEU,2017,82.656997,5711000000.0,4390904.094,718.794085,95530.0,38.472239774678
DEU,2018,82.914191,6145000000.0,4699855.721,696.131381,98161.0,39.502673046374
GRC,2000,10.805806,591000000.0,210979.958,87.923582,1628.0,188.50973476486
GRC,2001,10.862129,304000000.0,227712.096,90.041816,1797.0,173.07836067542
GRC,2002,10.902022,983000000.0,246559.281,90.283202,1836.0,149.88045336911
GRC,2003,10.928072,1699000000.0,260874.534,93.848627,1574.0,146.86948381553
GRC,2004,10.955142,1786000000.0,278691.884,93.480598,1669.0,152.43984536575
GRC,2005,10.987316,430000000.0,281028.396,95.156324,1854.0,150.90130308463
GRC,2006,11.020366,247000000.0,314201.08,94.103838,1811.0,150.35803724052
GRC,2007,11.048466,324000000.0,323551.015,97.902891,1930.0,145.90251521636
GRC,2008,11.077839,340000000.0,341817.829,94.35162,1657.0,140.1897716351
GRC,2009,11.107017,467000000.0,337447.85,90.15818,1414.0,131.08830210668
GRC,2010,11.121344,212000000.0,310668.24,83.36947,1337.0,113.11585536313
