"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFRAINVEST","RAIL","EUR","A","1995",571626711.18304,
"AUS","INFRAINVEST","RAIL","EUR","A","1996",802011114.08396,
"AUS","INFRAINVEST","RAIL","EUR","A","1997",747886518.71042,
"AUS","INFRAINVEST","RAIL","EUR","A","1998",648492072.22955,
"AUS","INFRAINVEST","RAIL","EUR","A","1999",564957297.04591,
"AUS","INFRAINVEST","RAIL","EUR","A","2000",411180193.77677,
"AUS","INFRAINVEST","RAIL","EUR","A","2001",366910463.5529,
"AUS","INFRAINVEST","RAIL","EUR","A","2002",662954843.00173,
"AUS","INFRAINVEST","RAIL","EUR","A","2003",748523928.5745,
"AUS","INFRAINVEST","RAIL","EUR","A","2004",1105364375.8845,
"AUS","INFRAINVEST","RAIL","EUR","A","2005",1496283128.6361,
"AUS","INFRAINVEST","RAIL","EUR","A","2006",1251611424.677,
"AUS","INFRAINVEST","RAIL","EUR","A","2007",1962260345.0615,
"AUS","INFRAINVEST","RAIL","EUR","A","2008",1734889810.4184,
"AUS","INFRAINVEST","RAIL","EUR","A","2009",2284971414.3283,
"AUS","INFRAINVEST","RAIL","EUR","A","2010",3611610590.3921,
"AUS","INFRAINVEST","RAIL","EUR","A","2011",5164883847.2106,
"AUS","INFRAINVEST","RAIL","EUR","A","2012",6602253137.6371,
"AUS","INFRAINVEST","RAIL","EUR","A","2013",4975556295.7156,
"AUS","INFRAINVEST","RAIL","EUR","A","2014",4320269257.6053,
"AUS","INFRAINVEST","RAIL","EUR","A","2015",2796273621.706,
"AUS","INFRAINVEST","RAIL","EUR","A","2016",2563852635.6123,
"AUS","INFRAINVEST","RAIL","EUR","A","2017",3825342109.5036,
"AUS","INFRAINVEST","RAIL","EUR","A","2018",5025635392.8338,
"AUT","INFRAINVEST","RAIL","EUR","A","1995",521000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1996",590000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1997",710000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1998",979000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1999",1120000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2000",1199000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2001",1071000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2002",1191000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2003",1145000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2004",1335000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2005",1330000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2006",1489000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2007",1505000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2008",1683000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2009",2062000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2010",1936000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2011",2143000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2012",1688000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2013",1648000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2014",1567000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2015",1549000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2016",1523000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2017",1552000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2018",1682000000,
"BEL","INFRAINVEST","RAIL","EUR","A","1995",668000000,
"BEL","INFRAINVEST","RAIL","EUR","A","1996",537000000,
"BEL","INFRAINVEST","RAIL","EUR","A","1997",635000000,
"BEL","INFRAINVEST","RAIL","EUR","A","1998",637000000,
"BEL","INFRAINVEST","RAIL","EUR","A","1999",764000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2000",1012000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2001",856000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2002",1049000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2003",959000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2004",976000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2005",948527538.2,"B"
"BEL","INFRAINVEST","RAIL","EUR","A","2006",928448430.70712,
"BEL","INFRAINVEST","RAIL","EUR","A","2007",820740802.27657,
"BEL","INFRAINVEST","RAIL","EUR","A","2008",982865787.45468,
"BEL","INFRAINVEST","RAIL","EUR","A","2009",1404314280.9247,
"BEL","INFRAINVEST","RAIL","EUR","A","2010",1376467072.8178,
"BEL","INFRAINVEST","RAIL","EUR","A","2011",1295066302.6247,
"BEL","INFRAINVEST","RAIL","EUR","A","2012",1333431629.7625,
"BEL","INFRAINVEST","RAIL","EUR","A","2013",1200786096.1563,
"BEL","INFRAINVEST","RAIL","EUR","A","2014",1107978558.46,"B"
"BEL","INFRAINVEST","RAIL","EUR","A","2015",1005993899.6279,
"BEL","INFRAINVEST","RAIL","EUR","A","2016",959083668.59,
"BEL","INFRAINVEST","RAIL","EUR","A","2017",880000000,
"CAN","INFRAINVEST","RAIL","EUR","A","1995",290775401.06952,
"CAN","INFRAINVEST","RAIL","EUR","A","1996",276686691.31238,
"CAN","INFRAINVEST","RAIL","EUR","A","1997",410932721.71254,
"CAN","INFRAINVEST","RAIL","EUR","A","1998",480485898.12977,
"CAN","INFRAINVEST","RAIL","EUR","A","1999",510815412.75147,
"CAN","INFRAINVEST","RAIL","EUR","A","2000",608226371.06184,
"CAN","INFRAINVEST","RAIL","EUR","A","2001",473786687.82,
"CAN","INFRAINVEST","RAIL","EUR","A","2002",452522255.19288,
"CAN","INFRAINVEST","RAIL","EUR","A","2003",489886219.97472,
"CAN","INFRAINVEST","RAIL","EUR","A","2004",356215213.35807,
"CAN","INFRAINVEST","RAIL","EUR","A","2005",580910114.5923,
"CAN","INFRAINVEST","RAIL","EUR","A","2006",598230585.59191,
"CAN","INFRAINVEST","RAIL","EUR","A","2007",645380897.27007,
"CAN","INFRAINVEST","RAIL","EUR","A","2008",616943500.28859,
"CAN","INFRAINVEST","RAIL","EUR","A","2009",493313146.60611,
"CAN","INFRAINVEST","RAIL","EUR","A","2010",697402122.21003,
"CAN","INFRAINVEST","RAIL","EUR","A","2011",869438790.34603,
"CAN","INFRAINVEST","RAIL","EUR","A","2012",1044520547.9452,
"CAN","INFRAINVEST","RAIL","EUR","A","2013",1011400175.3873,
"CAN","INFRAINVEST","RAIL","EUR","A","2014",962574135.93292,
"CAN","INFRAINVEST","RAIL","EUR","A","2015",1065180586.9074,
"CAN","INFRAINVEST","RAIL","EUR","A","2016",796508456.08292,
"CAN","INFRAINVEST","RAIL","EUR","A","2017",918464900.30046,
"CAN","INFRAINVEST","RAIL","EUR","A","2018",1081557966.2789,"P"
"CZE","INFRAINVEST","RAIL","EUR","A","1995",112319717.77401,
"CZE","INFRAINVEST","RAIL","EUR","A","1996",159803372.49827,
"CZE","INFRAINVEST","RAIL","EUR","A","1997",280063374.84999,
"CZE","INFRAINVEST","RAIL","EUR","A","1998",302455737.67765,
"CZE","INFRAINVEST","RAIL","EUR","A","1999",268707141.75319,
"CZE","INFRAINVEST","RAIL","EUR","A","2000",370746942.74207,
"CZE","INFRAINVEST","RAIL","EUR","A","2001",393952562.43871,
"CZE","INFRAINVEST","RAIL","EUR","A","2002",473793692.05357,
"CZE","INFRAINVEST","RAIL","EUR","A","2003",415919504.31339,
"CZE","INFRAINVEST","RAIL","EUR","A","2004",411744609.89729,
"CZE","INFRAINVEST","RAIL","EUR","A","2005",484400022.83005,
"CZE","INFRAINVEST","RAIL","EUR","A","2006",465026007.29757,
"CZE","INFRAINVEST","RAIL","EUR","A","2007",612539717.99324,
"CZE","INFRAINVEST","RAIL","EUR","A","2008",1217156136.0631,
"CZE","INFRAINVEST","RAIL","EUR","A","2009",740621739.72209,
"CZE","INFRAINVEST","RAIL","EUR","A","2010",563179264.56576,
"CZE","INFRAINVEST","RAIL","EUR","A","2011",446822182.0962,
"CZE","INFRAINVEST","RAIL","EUR","A","2012",381534888.53009,
"CZE","INFRAINVEST","RAIL","EUR","A","2013",334664758.03472,
"CZE","INFRAINVEST","RAIL","EUR","A","2014",454245019.21135,
"CZE","INFRAINVEST","RAIL","EUR","A","2015",1164925783.3975,
"CZE","INFRAINVEST","RAIL","EUR","A","2016",681496030.95338,
"CZE","INFRAINVEST","RAIL","EUR","A","2017",565612750.31146,
"CZE","INFRAINVEST","RAIL","EUR","A","2018",741057048.48478,
"DNK","INFRAINVEST","RAIL","EUR","A","1995",726071706.40499,
"DNK","INFRAINVEST","RAIL","EUR","A","1996",1033587869.2356,
"DNK","INFRAINVEST","RAIL","EUR","A","1997",872255408.99918,
"DNK","INFRAINVEST","RAIL","EUR","A","1998",818021813.91504,
"DNK","INFRAINVEST","RAIL","EUR","A","1999",634649523.91199,
"DNK","INFRAINVEST","RAIL","EUR","A","2000",563873460.51678,
"DNK","INFRAINVEST","RAIL","EUR","A","2001",459730012.61372,
"DNK","INFRAINVEST","RAIL","EUR","A","2002",478433483.61483,
"DNK","INFRAINVEST","RAIL","EUR","A","2003",337922403.00375,
"DNK","INFRAINVEST","RAIL","EUR","A","2004",341536848.61356,
"DNK","INFRAINVEST","RAIL","EUR","A","2005",240884630.35281,
"DNK","INFRAINVEST","RAIL","EUR","A","2006",178171629.28503,
"DNK","INFRAINVEST","RAIL","EUR","A","2007",232055618.18865,
"DNK","INFRAINVEST","RAIL","EUR","A","2008",372988197.42489,
"DNK","INFRAINVEST","RAIL","EUR","A","2009",356687213.78403,
"DNK","INFRAINVEST","RAIL","EUR","A","2010",396390589.75185,
"DNK","INFRAINVEST","RAIL","EUR","A","2011",862871944.91793,
"DNK","INFRAINVEST","RAIL","EUR","A","2012",915795695.7468,
"DNK","INFRAINVEST","RAIL","EUR","A","2013",996124914.52017,
"DNK","INFRAINVEST","RAIL","EUR","A","2014",1159371688.4197,
"DNK","INFRAINVEST","RAIL","EUR","A","2015",1308422492.1567,
"DNK","INFRAINVEST","RAIL","EUR","A","2016",1185026996.5348,
"DNK","INFRAINVEST","RAIL","EUR","A","2017",1228171589.1218,
"DNK","INFRAINVEST","RAIL","EUR","A","2018",1351365856.2765,
"FIN","INFRAINVEST","RAIL","EUR","A","1995",226000000,
"FIN","INFRAINVEST","RAIL","EUR","A","1996",192000000,
"FIN","INFRAINVEST","RAIL","EUR","A","1997",224000000,
"FIN","INFRAINVEST","RAIL","EUR","A","1998",254000000,
"FIN","INFRAINVEST","RAIL","EUR","A","1999",264000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2000",233000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2001",204000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2002",225000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2003",275000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2004",328000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2005",281000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2006",234000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2007",211000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2008",327000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2009",361000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2010",388000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2011",355000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2012",450000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2013",605000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2014",643000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2015",567000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2016",537000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2017",521000000,
"FIN","INFRAINVEST","RAIL","EUR","A","2018",491000000,
"FRA","INFRAINVEST","RAIL","EUR","A","1995",2765572478.7448,
"FRA","INFRAINVEST","RAIL","EUR","A","1996",2963000000,
"FRA","INFRAINVEST","RAIL","EUR","A","1997",3024000000,
"FRA","INFRAINVEST","RAIL","EUR","A","1998",2879000000,
"FRA","INFRAINVEST","RAIL","EUR","A","1999",2891000000,
"FRA","INFRAINVEST","RAIL","EUR","A","2000",2954750000,
"FRA","INFRAINVEST","RAIL","EUR","A","2001",2443638000,
"FRA","INFRAINVEST","RAIL","EUR","A","2002",3044642000,
"FRA","INFRAINVEST","RAIL","EUR","A","2003",3633564000,
"FRA","INFRAINVEST","RAIL","EUR","A","2004",3680498000,
"FRA","INFRAINVEST","RAIL","EUR","A","2005",4171382500,
"FRA","INFRAINVEST","RAIL","EUR","A","2006",4303020000,
"FRA","INFRAINVEST","RAIL","EUR","A","2007",4616418000,
"FRA","INFRAINVEST","RAIL","EUR","A","2008",4696513301.88,
"FRA","INFRAINVEST","RAIL","EUR","A","2009",4968770094.2,
"FRA","INFRAINVEST","RAIL","EUR","A","2010",5103166000,
"FRA","INFRAINVEST","RAIL","EUR","A","2011",7060006000,
"FRA","INFRAINVEST","RAIL","EUR","A","2012",7991727000,
"FRA","INFRAINVEST","RAIL","EUR","A","2013",10364564000,
"FRA","INFRAINVEST","RAIL","EUR","A","2014",8921881000,
"FRA","INFRAINVEST","RAIL","EUR","A","2015",8576194000,
"FRA","INFRAINVEST","RAIL","EUR","A","2016",8614650000,
"FRA","INFRAINVEST","RAIL","EUR","A","2017",9334770000,
"FRA","INFRAINVEST","RAIL","EUR","A","2018",9901590000,
"DEU","INFRAINVEST","RAIL","EUR","A","1995",5747000000,
"DEU","INFRAINVEST","RAIL","EUR","A","1996",5200000000,
"DEU","INFRAINVEST","RAIL","EUR","A","1997",4745000000,
"DEU","INFRAINVEST","RAIL","EUR","A","1998",4423000000,
"DEU","INFRAINVEST","RAIL","EUR","A","1999",7350000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2000",5305000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2001",5481000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2002",7437000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2003",7228000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2004",6404000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2005",3411000000,"B"
"DEU","INFRAINVEST","RAIL","EUR","A","2006",3971000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2007",3836000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2008",3816000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2009",3412000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2010",3807000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2011",4086000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2012",3930000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2013",4684000000,"B"
"DEU","INFRAINVEST","RAIL","EUR","A","2014",5543000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2015",5541000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2016",5192000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2017",5711000000,
"DEU","INFRAINVEST","RAIL","EUR","A","2018",6145000000,
"GRC","INFRAINVEST","RAIL","EUR","A","2000",591000000,
"GRC","INFRAINVEST","RAIL","EUR","A","2001",304000000,
"GRC","INFRAINVEST","RAIL","EUR","A","2002",983000000,
"GRC","INFRAINVEST","RAIL","EUR","A","2003",1699000000,
"GRC","INFRAINVEST","RAIL","EUR","A","2004",1786000000,
"GRC","INFRAINVEST","RAIL","EUR","A","2005",430000000,
"GRC","INFRAINVEST","RAIL","EUR","A","2006",247000000,
"GRC","INFRAINVEST","RAIL","EUR","A","2007",324000000,
"GRC","INFRAINVEST","RAIL","EUR","A","2008",340000000,
"GRC","INFRAINVEST","RAIL","EUR","A","2009",467000000,
"GRC","INFRAINVEST","RAIL","EUR","A","2010",212000000,
