"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1995",10344.505996047,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1996",10696.252435836,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1997",10976.875472385,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1998",10950.918994143,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","1999",11164.803792244,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2000",11552.161964256,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2001",12149.624986664,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2002",12005.65718487,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2003",12021.773106727,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2004",12087.046535813,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2005",12062.893352373,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2006",12590.874021192,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2007",13212.731578192,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2008",14276.384048686,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2009",15004.14159834,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2010",14992.79186061,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2011",15275.793628,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2012",15568.963881337,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2013",15543.667841316,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2014",15571.083308422,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2015",16016.860652115,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2016",16503.758569102,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2017",17039.193726877,
"AUS","PASSTRANSP","RAIL","MLN_PKM","A","2018",17585.947168902,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1995",9625,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1996",9689,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1997",8140,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1998",7971,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","1999",7995,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2000",8206,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2001",8240,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2002",8300,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2003",8249,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2004",8295,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2005",8470,
"AUT","PASSTRANSP","RAIL","MLN_PKM","A","2006",9296,"B"
