"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","ROADACCID","DEATH","1000000HAB","A","1995",171.30620985011,
"LUX","ROADACCID","DEATH","1000000HAB","A","1996",171.40442995956,
"LUX","ROADACCID","DEATH","1000000HAB","A","1997",143.04446298725,
"LUX","ROADACCID","DEATH","1000000HAB","A","1998",134.21238521309,
"LUX","ROADACCID","DEATH","1000000HAB","A","1999",134.73488588187,
"LUX","ROADACCID","DEATH","1000000HAB","A","2000",174.19206967683,
"LUX","ROADACCID","DEATH","1000000HAB","A","2001",158.5414189457,
"LUX","ROADACCID","DEATH","1000000HAB","A","2002",138.95892867149,
"LUX","ROADACCID","DEATH","1000000HAB","A","2003",117.35270021921,
"LUX","ROADACCID","DEATH","1000000HAB","A","2004",109.14766587717,
"LUX","ROADACCID","DEATH","1000000HAB","A","2005",101.04093662798,
"LUX","ROADACCID","DEATH","1000000HAB","A","2006",90.978911934529,
"LUX","ROADACCID","DEATH","1000000HAB","A","2007",93.751367207438,
"LUX","ROADACCID","DEATH","1000000HAB","A","2008",71.625908114192,
"LUX","ROADACCID","DEATH","1000000HAB","A","2009",96.427559800154,
"LUX","ROADACCID","DEATH","1000000HAB","A","2010",63.122222375644,
"LUX","ROADACCID","DEATH","1000000HAB","A","2011",63.66391625687,
"LUX","ROADACCID","DEATH","1000000HAB","A","2012",64.03664402783,
"LUX","ROADACCID","DEATH","1000000HAB","A","2013",82.818021201413,
"LUX","ROADACCID","DEATH","1000000HAB","A","2014",62.91354420755,
"LUX","ROADACCID","DEATH","1000000HAB","A","2015",63.201803358122,
"LUX","ROADACCID","DEATH","1000000HAB","A","2016",54.981495290491,
"LUX","ROADACCID","DEATH","1000000HAB","A","2017",58.691744251563,
"LUX","ROADACCID","DEATH","1000000HAB","A","2018",59.215396002961,
"GBR","ROADACCID","DEATH","1000000HAB","A","1995",64.89250164989,
"GBR","ROADACCID","DEATH","1000000HAB","A","1996",64.297681071468,
"GBR","ROADACCID","DEATH","1000000HAB","A","1997",64.183736345352,
"GBR","ROADACCID","DEATH","1000000HAB","A","1998",61.227133670288,
"GBR","ROADACCID","DEATH","1000000HAB","A","1999",60.733644015574,
"GBR","ROADACCID","DEATH","1000000HAB","A","2000",60.78871076891,
"GBR","ROADACCID","DEATH","1000000HAB","A","2001",60.859605904789,
"GBR","ROADACCID","DEATH","1000000HAB","A","2002",60.316171611147,
"GBR","ROADACCID","DEATH","1000000HAB","A","2003",61.32688340383,
"GBR","ROADACCID","DEATH","1000000HAB","A","2004",56.144651159263,
"GBR","ROADACCID","DEATH","1000000HAB","A","2005",55.230685294595,
"GBR","ROADACCID","DEATH","1000000HAB","A","2006",54.201682191444,
"GBR","ROADACCID","DEATH","1000000HAB","A","2007",49.883841097511,
"GBR","ROADACCID","DEATH","1000000HAB","A","2008",42.794508938673,
"GBR","ROADACCID","DEATH","1000000HAB","A","2009",37.526332261068,
"GBR","ROADACCID","DEATH","1000000HAB","A","2010",30.350650384167,
"GBR","ROADACCID","DEATH","1000000HAB","A","2011",30.983826600595,
"GBR","ROADACCID","DEATH","1000000HAB","A","2012",28.288758523029,
"GBR","ROADACCID","DEATH","1000000HAB","A","2013",27.600930403973,
"GBR","ROADACCID","DEATH","1000000HAB","A","2014",28.698669511725,
"GBR","ROADACCID","DEATH","1000000HAB","A","2015",27.704311271513,
"GBR","ROADACCID","DEATH","1000000HAB","A","2016",28.348648690789,
"GBR","ROADACCID","DEATH","1000000HAB","A","2017",28.096155884255,
"GBR","ROADACCID","DEATH","1000000HAB","A","2018",27.640543058278,"P"
"LTU","ROADACCID","DEATH","1000000HAB","A","1995",184.89422452166,
"LTU","ROADACCID","DEATH","1000000HAB","A","1996",185.19480021868,
"LTU","ROADACCID","DEATH","1000000HAB","A","1997",203.06914112662,
"LTU","ROADACCID","DEATH","1000000HAB","A","1998",233.56514227611,
"LTU","ROADACCID","DEATH","1000000HAB","A","1999",212.2444624909,
"LTU","ROADACCID","DEATH","1000000HAB","A","2000",183.16713987226,
"LTU","ROADACCID","DEATH","1000000HAB","A","2001",203.41026236466,
"LTU","ROADACCID","DEATH","1000000HAB","A","2002",202.43579343649,
"LTU","ROADACCID","DEATH","1000000HAB","A","2003",207.60052154873,
"LTU","ROADACCID","DEATH","1000000HAB","A","2004",222.67790913735,
"LTU","ROADACCID","DEATH","1000000HAB","A","2005",232.65417176319,
"LTU","ROADACCID","DEATH","1000000HAB","A","2006",232.42237016382,
"LTU","ROADACCID","DEATH","1000000HAB","A","2007",229.01042121206,
"LTU","ROADACCID","DEATH","1000000HAB","A","2008",156.02375188034,
"LTU","ROADACCID","DEATH","1000000HAB","A","2009",116.98065961916,
"LTU","ROADACCID","DEATH","1000000HAB","A","2010",96.536253398948,
"LTU","ROADACCID","DEATH","1000000HAB","A","2011",97.750580806872,
"LTU","ROADACCID","DEATH","1000000HAB","A","2012",101.0786294675,
"LTU","ROADACCID","DEATH","1000000HAB","A","2013",86.554062986338,
"LTU","ROADACCID","DEATH","1000000HAB","A","2014",91.052722936795,
"LTU","ROADACCID","DEATH","1000000HAB","A","2015",83.307228106895,
"LTU","ROADACCID","DEATH","1000000HAB","A","2016",66.94021506636,
"LTU","ROADACCID","DEATH","1000000HAB","A","2017",67.529273586543,
